candidate_id,req_id,stage,entered_date,exited_date,outcome
CAN00042,REQ0001,Onboarding,2022-11-03,2022-12-03,Completed
CAN00043,REQ0001,Application Received,2022-09-04,2022-09-04,Passed
CAN00043,REQ0001,CV Screening,2022-09-04,2022-09-10,Passed
CAN00043,REQ0001,Written Test,2022-09-10,2022-09-22,Passed
CAN00043,REQ0001,Interview,2022-09-22,2022-10-13,Passed
CAN00043,REQ0001,Reference Check,2022-10-13,2022-10-17,Passed
CAN00043,REQ0001,Offer & Approval,2022-10-17,2022-10-22,Accepted
CAN00043,REQ0001,Onboarding,2022-10-22,2022-11-14,Completed
CAN00044,REQ0001,Application Received,2022-08-31,2022-08-31,Passed
CAN00044,REQ0001,CV Screening,2022-08-31,2022-09-10,Not matching JD
CAN00045,REQ0001,Application Received,2022-09-06,2022-09-06,Passed
CAN00045,REQ0001,CV Screening,2022-09-06,2022-09-10,Not matching JD
CAN00046,REQ0001,Application Received,2022-09-06,2022-09-06,Passed
CAN00046,REQ0001,CV Screening,2022-09-06,2022-09-12,Passed
CAN00046,REQ0001,Written Test,2022-09-12,2022-09-25,Below cutoff score
CAN00047,REQ0001,Application Received,2022-09-07,2022-09-07,Passed
CAN00047,REQ0001,CV Screening,2022-09-07,2022-09-15,Incomplete CV
CAN00048,REQ0001,Application Received,2022-09-18,2022-09-18,Passed
CAN00048,REQ0001,CV Screening,2022-09-18,2022-09-28,Passed
CAN00048,REQ0001,Written Test,2022-09-28,2022-10-06,Passed
CAN00048,REQ0001,Interview,2022-10-06,2022-10-19,Culture fit mismatch
CAN00049,REQ0001,Application Received,2022-09-10,2022-09-10,Passed
CAN00049,REQ0001,CV Screening,2022-09-10,2022-09-18,Passed
CAN00049,REQ0001,Written Test,2022-09-18,2022-09-28,Passed
CAN00049,REQ0001,Interview,2022-09-28,2022-10-12,Passed
CAN00049,REQ0001,Reference Check,2022-10-12,2022-10-21,Failed Reference
CAN00050,REQ0001,Application Received,2022-09-05,2022-09-05,Passed
CAN00050,REQ0001,CV Screening,2022-09-05,2022-09-08,Passed
CAN00050,REQ0001,Written Test,2022-09-08,2022-09-22,Passed
CAN00050,REQ0001,Interview,2022-09-22,2022-10-07,Joined competitor before interview
CAN00051,REQ0001,Application Received,2022-09-14,2022-09-14,Passed
CAN00051,REQ0001,CV Screening,2022-09-14,2022-09-17,Under-qualified
CAN00052,REQ0001,Application Received,2022-09-05,2022-09-05,Passed
CAN00052,REQ0001,CV Screening,2022-09-05,2022-09-12,Not matching JD
CAN00053,REQ0001,Application Received,2022-09-06,2022-09-06,Passed
CAN00053,REQ0001,CV Screening,2022-09-06,2022-09-13,Duplicate application
CAN00054,REQ0001,Application Received,2022-09-12,2022-09-12,Passed
CAN00054,REQ0001,CV Screening,2022-09-12,2022-09-15,Passed
CAN00054,REQ0001,Written Test,2022-09-15,2022-09-21,Passed
CAN00054,REQ0001,Interview,2022-09-21,2022-09-30,Weak technical skills
CAN00055,REQ0001,Application Received,2022-09-15,2022-09-15,Passed
CAN00055,REQ0001,CV Screening,2022-09-15,2022-09-19,Duplicate application
CAN00056,REQ0001,Application Received,2022-09-19,2022-09-19,Passed
CAN00056,REQ0001,CV Screening,2022-09-19,2022-09-24,Passed
CAN00056,REQ0001,Written Test,2022-09-24,2022-10-07,Passed
CAN00056,REQ0001,Interview,2022-10-07,2022-10-17,Passed
CAN00056,REQ0001,Reference Check,2022-10-17,2022-10-22,Passed
CAN00056,REQ0001,Offer & Approval,2022-10-22,2022-10-27,Accepted
CAN00056,REQ0001,Onboarding,2022-10-27,2022-11-14,Completed
CAN00057,REQ0001,Application Received,2022-09-06,2022-09-06,Passed
CAN00057,REQ0001,CV Screening,2022-09-06,2022-09-15,Incomplete CV
CAN00058,REQ0001,Application Received,2022-09-15,2022-09-15,Passed
CAN00058,REQ0001,CV Screening,2022-09-15,2022-09-18,Over-qualified
CAN00059,REQ0001,Application Received,2022-09-04,2022-09-04,Passed
CAN00059,REQ0001,CV Screening,2022-09-04,2022-09-12,Passed
CAN00059,REQ0001,Written Test,2022-09-12,2022-09-19,Passed
CAN00059,REQ0001,Interview,2022-09-19,2022-09-26,Passed
CAN00059,REQ0001,Reference Check,2022-09-26,2022-10-05,Passed
CAN00059,REQ0001,Offer & Approval,2022-10-05,2022-10-15,Accepted competitor offer
CAN00060,REQ0001,Application Received,2022-09-05,2022-09-05,Passed
CAN00060,REQ0001,CV Screening,2022-09-05,2022-09-10,Under-qualified
CAN00061,REQ0001,Application Received,2022-09-12,2022-09-12,Passed
CAN00061,REQ0001,CV Screening,2022-09-12,2022-09-15,Incomplete CV
CAN00062,REQ0001,Application Received,2022-09-04,2022-09-04,Passed
CAN00062,REQ0001,CV Screening,2022-09-04,2022-09-08,Passed
CAN00062,REQ0001,Written Test,2022-09-08,2022-09-13,Passed
CAN00062,REQ0001,Interview,2022-09-13,2022-09-28,Joined competitor before interview
CAN00063,REQ0001,Application Received,2022-09-16,2022-09-16,Passed
CAN00063,REQ0001,CV Screening,2022-09-16,2022-09-20,Not matching JD
CAN00064,REQ0001,Application Received,2022-09-04,2022-09-04,Passed
CAN00064,REQ0001,CV Screening,2022-09-04,2022-09-12,Incomplete CV
CAN00065,REQ0002,Application Received,2023-07-24,2023-07-24,Passed
CAN00065,REQ0002,CV Screening,2023-07-24,2023-07-28,Passed
CAN00065,REQ0002,Written Test,2023-07-28,2023-08-11,Absent
CAN00066,REQ0002,Application Received,2023-07-31,2023-07-31,Passed
CAN00066,REQ0002,CV Screening,2023-07-31,2023-08-07,Not matching JD
CAN00067,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00067,REQ0002,CV Screening,2023-07-14,2023-07-17,Passed
CAN00067,REQ0002,Written Test,2023-07-17,2023-07-22,Passed
CAN00067,REQ0002,Interview,2023-07-22,2023-08-01,Passed
CAN00067,REQ0002,Reference Check,2023-08-01,2023-08-07,Failed Reference
CAN00068,REQ0002,Application Received,2023-07-23,2023-07-23,Passed
CAN00068,REQ0002,CV Screening,2023-07-23,2023-08-02,Passed
CAN00068,REQ0002,Written Test,2023-08-02,2023-08-14,Failed aptitude
CAN00069,REQ0002,Application Received,2023-07-25,2023-07-25,Passed
CAN00069,REQ0002,CV Screening,2023-07-25,2023-07-29,Passed
CAN00069,REQ0002,Written Test,2023-07-29,2023-08-12,Passed
CAN00069,REQ0002,Interview,2023-08-12,2023-08-25,Passed
CAN00069,REQ0002,Reference Check,2023-08-25,2023-09-01,Passed
CAN00069,REQ0002,Offer & Approval,2023-09-01,2023-09-08,Accepted
CAN00069,REQ0002,Onboarding,2023-09-08,2023-09-17,Completed
CAN00070,REQ0002,Application Received,2023-07-29,2023-07-29,Passed
CAN00070,REQ0002,CV Screening,2023-07-29,2023-08-06,Over-qualified
CAN00071,REQ0002,Application Received,2023-07-24,2023-07-24,Passed
CAN00071,REQ0002,CV Screening,2023-07-24,2023-07-29,Passed
CAN00071,REQ0002,Written Test,2023-07-29,2023-08-12,Passed
CAN00071,REQ0002,Interview,2023-08-12,2023-08-31,Withdrew - Joined Competitor
CAN00072,REQ0002,Application Received,2023-07-24,2023-07-24,Passed
CAN00072,REQ0002,CV Screening,2023-07-24,2023-08-03,Passed
CAN00072,REQ0002,Written Test,2023-08-03,2023-08-13,Passed
CAN00072,REQ0002,Interview,2023-08-13,2023-08-23,Passed
CAN00072,REQ0002,Reference Check,2023-08-23,2023-08-30,Failed Reference
CAN00073,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00073,REQ0002,CV Screening,2023-07-14,2023-07-22,Under-qualified
CAN00074,REQ0002,Application Received,2023-07-13,2023-07-13,Passed
CAN00074,REQ0002,CV Screening,2023-07-13,2023-07-16,Not matching JD
CAN00075,REQ0002,Application Received,2023-07-28,2023-07-28,Passed
CAN00075,REQ0002,CV Screening,2023-07-28,2023-08-01,Over-qualified
CAN00076,REQ0002,Application Received,2023-07-29,2023-07-29,Passed
CAN00076,REQ0002,CV Screening,2023-07-29,2023-08-07,Passed
CAN00076,REQ0002,Written Test,2023-08-07,2023-08-18,Passed
CAN00076,REQ0002,Interview,2023-08-18,2023-08-29,Salary expectation too high
CAN00077,REQ0002,Application Received,2023-07-30,2023-07-30,Passed
CAN00077,REQ0002,CV Screening,2023-07-30,2023-08-05,Duplicate application
CAN00078,REQ0002,Application Received,2023-07-17,2023-07-17,Passed
CAN00078,REQ0002,CV Screening,2023-07-17,2023-07-26,Incomplete CV
CAN00079,REQ0002,Application Received,2023-07-20,2023-07-20,Passed
CAN00079,REQ0002,CV Screening,2023-07-20,2023-07-27,Incomplete CV
CAN00080,REQ0002,Application Received,2023-07-16,2023-07-16,Passed
CAN00080,REQ0002,CV Screening,2023-07-16,2023-07-23,Passed
CAN00080,REQ0002,Written Test,2023-07-23,2023-07-28,Passed
CAN00080,REQ0002,Interview,2023-07-28,2023-08-10,Passed
CAN00080,REQ0002,Reference Check,2023-08-10,2023-08-20,Passed
CAN00080,REQ0002,Offer & Approval,2023-08-20,2023-08-26,Accepted
CAN00080,REQ0002,Onboarding,2023-08-26,2023-09-14,Completed
CAN00081,REQ0002,Application Received,2023-07-25,2023-07-25,Passed
CAN00081,REQ0002,CV Screening,2023-07-25,2023-08-04,Passed
CAN00081,REQ0002,Written Test,2023-08-04,2023-08-09,Absent
CAN00082,REQ0002,Application Received,2023-07-30,2023-07-30,Passed
CAN00082,REQ0002,CV Screening,2023-07-30,2023-08-05,Passed
CAN00082,REQ0002,Written Test,2023-08-05,2023-08-10,Passed
CAN00082,REQ0002,Interview,2023-08-10,2023-08-25,Passed
CAN00082,REQ0002,Reference Check,2023-08-25,2023-09-01,Passed
CAN00082,REQ0002,Offer & Approval,2023-09-01,2023-09-11,Accepted
CAN00082,REQ0002,Onboarding,2023-09-11,2023-09-30,Completed
CAN00083,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00083,REQ0002,CV Screening,2023-07-14,2023-07-24,Passed
CAN00083,REQ0002,Written Test,2023-07-24,2023-08-01,Absent
CAN00084,REQ0002,Application Received,2023-07-15,2023-07-15,Passed
CAN00084,REQ0002,CV Screening,2023-07-15,2023-07-21,Incomplete CV
CAN00085,REQ0002,Application Received,2023-07-16,2023-07-16,Passed
CAN00085,REQ0002,CV Screening,2023-07-16,2023-07-19,Incomplete CV
CAN00086,REQ0002,Application Received,2023-07-17,2023-07-17,Passed
CAN00086,REQ0002,CV Screening,2023-07-17,2023-07-25,Not matching JD
CAN00087,REQ0002,Application Received,2023-07-31,2023-07-31,Passed
CAN00087,REQ0002,CV Screening,2023-07-31,2023-08-06,Not matching JD
CAN00088,REQ0002,Application Received,2023-07-28,2023-07-28,Passed
CAN00088,REQ0002,CV Screening,2023-07-28,2023-08-01,Under-qualified
CAN00089,REQ0002,Application Received,2023-07-11,2023-07-11,Passed
CAN00089,REQ0002,CV Screening,2023-07-11,2023-07-21,Under-qualified
CAN00090,REQ0002,Application Received,2023-07-15,2023-07-15,Passed
CAN00090,REQ0002,CV Screening,2023-07-15,2023-07-20,Not matching JD
CAN00091,REQ0002,Application Received,2023-07-13,2023-07-13,Passed
CAN00091,REQ0002,CV Screening,2023-07-13,2023-07-22,Passed
CAN00091,REQ0002,Written Test,2023-07-22,2023-08-03,Passed
CAN00091,REQ0002,Interview,2023-08-03,2023-08-17,Weak technical skills
CAN00092,REQ0002,Application Received,2023-07-26,2023-07-26,Passed
CAN00092,REQ0002,CV Screening,2023-07-26,2023-08-02,Passed
CAN00092,REQ0002,Written Test,2023-08-02,2023-08-08,Below cutoff score
CAN00093,REQ0002,Application Received,2023-07-20,2023-07-20,Passed
CAN00093,REQ0002,CV Screening,2023-07-20,2023-07-25,Not matching JD
CAN00094,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00094,REQ0002,CV Screening,2023-07-14,2023-07-17,Incomplete CV
CAN00095,REQ0002,Application Received,2023-07-13,2023-07-13,Passed
CAN00095,REQ0002,CV Screening,2023-07-13,2023-07-16,Passed
CAN00095,REQ0002,Written Test,2023-07-16,2023-07-27,Absent
CAN00096,REQ0002,Application Received,2023-07-23,2023-07-23,Passed
CAN00096,REQ0002,CV Screening,2023-07-23,2023-07-27,Over-qualified
CAN00097,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00097,REQ0002,CV Screening,2023-07-14,2023-07-23,Over-qualified
CAN00098,REQ0002,Application Received,2023-07-26,2023-07-26,Passed
CAN00098,REQ0002,CV Screening,2023-07-26,2023-07-29,Under-qualified
CAN00099,REQ0002,Application Received,2023-07-12,2023-07-12,Passed
CAN00099,REQ0002,CV Screening,2023-07-12,2023-07-21,Passed
CAN00099,REQ0002,Written Test,2023-07-21,2023-08-01,Failed aptitude
CAN00100,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
CAN00100,REQ0002,CV Screening,2023-07-18,2023-07-26,Incomplete CV
CAN00101,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00101,REQ0002,CV Screening,2023-07-14,2023-07-21,Under-qualified
CAN00102,REQ0002,Application Received,2023-07-15,2023-07-15,Passed
CAN00102,REQ0002,CV Screening,2023-07-15,2023-07-23,Under-qualified
CAN00103,REQ0002,Application Received,2023-07-29,2023-07-29,Passed
CAN00103,REQ0002,CV Screening,2023-07-29,2023-08-03,Under-qualified
CAN00104,REQ0002,Application Received,2023-07-19,2023-07-19,Passed
CAN00104,REQ0002,CV Screening,2023-07-19,2023-07-24,Not matching JD
CAN00105,REQ0002,Application Received,2023-07-22,2023-07-22,Passed
CAN00105,REQ0002,CV Screening,2023-07-22,2023-07-30,Passed
CAN00105,REQ0002,Written Test,2023-07-30,2023-08-08,Passed
CAN00105,REQ0002,Interview,2023-08-08,2023-08-26,Passed
CAN00105,REQ0002,Reference Check,2023-08-26,2023-08-30,Passed
CAN00105,REQ0002,Offer & Approval,2023-08-30,2023-09-13,Accepted
CAN00105,REQ0002,Onboarding,2023-09-13,2023-10-09,Completed
CAN00106,REQ0002,Application Received,2023-07-12,2023-07-12,Passed
CAN00106,REQ0002,CV Screening,2023-07-12,2023-07-17,Incomplete CV
CAN00107,REQ0002,Application Received,2023-07-22,2023-07-22,Passed
CAN00107,REQ0002,CV Screening,2023-07-22,2023-07-26,Passed
CAN00107,REQ0002,Written Test,2023-07-26,2023-08-06,Below cutoff score
CAN00108,REQ0002,Application Received,2023-07-17,2023-07-17,Passed
CAN00108,REQ0002,CV Screening,2023-07-17,2023-07-24,Duplicate application
CAN00109,REQ0002,Application Received,2023-07-15,2023-07-15,Passed
CAN00109,REQ0002,CV Screening,2023-07-15,2023-07-20,Incomplete CV
CAN00110,REQ0002,Application Received,2023-07-28,2023-07-28,Passed
CAN00110,REQ0002,CV Screening,2023-07-28,2023-08-02,Not matching JD
CAN00111,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00111,REQ0002,CV Screening,2023-07-14,2023-07-19,Duplicate application
CAN00112,REQ0002,Application Received,2023-07-29,2023-07-29,Passed
CAN00112,REQ0002,CV Screening,2023-07-29,2023-08-02,Passed
CAN00112,REQ0002,Written Test,2023-08-02,2023-08-13,Below cutoff score
CAN00113,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
CAN00113,REQ0002,CV Screening,2023-07-18,2023-07-27,Not matching JD
CAN00114,REQ0002,Application Received,2023-07-24,2023-07-24,Passed
CAN00114,REQ0002,CV Screening,2023-07-24,2023-07-27,Duplicate application
CAN00115,REQ0002,Application Received,2023-07-17,2023-07-17,Passed
CAN00115,REQ0002,CV Screening,2023-07-17,2023-07-20,Passed
CAN00115,REQ0002,Written Test,2023-07-20,2023-07-27,Passed
CAN00115,REQ0002,Interview,2023-07-27,2023-08-08,Withdrew - Joined Competitor
CAN00116,REQ0002,Application Received,2023-07-17,2023-07-17,Passed
CAN00116,REQ0002,CV Screening,2023-07-17,2023-07-24,Not matching JD
CAN00117,REQ0002,Application Received,2023-07-31,2023-07-31,Passed
CAN00117,REQ0002,CV Screening,2023-07-31,2023-08-05,Over-qualified
CAN00118,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
CAN00118,REQ0002,CV Screening,2023-07-18,2023-07-27,Not matching JD
CAN00119,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
CAN00119,REQ0002,CV Screening,2023-07-18,2023-07-23,Over-qualified
CAN00120,REQ0002,Application Received,2023-07-20,2023-07-20,Passed
CAN00120,REQ0002,CV Screening,2023-07-20,2023-07-30,Incomplete CV
CAN00121,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
CAN00121,REQ0002,CV Screening,2023-07-18,2023-07-25,Under-qualified
CAN00122,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
CAN00122,REQ0002,CV Screening,2023-07-18,2023-07-27,Passed
CAN00122,REQ0002,Written Test,2023-07-27,2023-08-02,Passed
CAN00122,REQ0002,Interview,2023-08-02,2023-08-12,Passed
CAN00122,REQ0002,Reference Check,2023-08-12,2023-08-18,Passed
CAN00122,REQ0002,Offer & Approval,2023-08-18,2023-08-31,Accepted competitor offer
CAN00123,REQ0002,Application Received,2023-07-17,2023-07-17,Passed
CAN00123,REQ0002,CV Screening,2023-07-17,2023-07-25,Under-qualified
CAN00124,REQ0002,Application Received,2023-07-16,2023-07-16,Passed
CAN00124,REQ0002,CV Screening,2023-07-16,2023-07-24,Not matching JD
CAN00125,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
CAN00125,REQ0002,CV Screening,2023-07-18,2023-07-27,Not matching JD
CAN00126,REQ0002,Application Received,2023-07-14,2023-07-14,Passed
CAN00126,REQ0002,CV Screening,2023-07-14,2023-07-21,Under-qualified
CAN00127,REQ0002,Application Received,2023-07-13,2023-07-13,Passed
CAN00127,REQ0002,CV Screening,2023-07-13,2023-07-18,Incomplete CV
CAN00128,REQ0002,Application Received,2023-07-31,2023-07-31,Passed
CAN00128,REQ0002,CV Screening,2023-07-31,2023-08-08,Under-qualified
CAN00129,REQ0002,Application Received,2023-07-15,2023-07-15,Passed
CAN00129,REQ0002,CV Screening,2023-07-15,2023-07-21,Passed
CAN00129,REQ0002,Written Test,2023-07-21,2023-07-26,Passed
CAN00129,REQ0002,Interview,2023-07-26,2023-08-11,Passed
CAN00129,REQ0002,Reference Check,2023-08-11,2023-08-20,Passed
CAN00129,REQ0002,Offer & Approval,2023-08-20,2023-09-01,Counter-offer from current employer
CAN00130,REQ0002,Application Received,2023-07-31,2023-07-31,Passed
CAN00130,REQ0002,CV Screening,2023-07-31,2023-08-07,Under-qualified
CAN00131,REQ0002,Application Received,2023-07-17,2023-07-17,Passed
CAN00131,REQ0002,CV Screening,2023-07-17,2023-07-27,Duplicate application
CAN00132,REQ0002,Application Received,2023-07-29,2023-07-29,Passed
CAN00132,REQ0002,CV Screening,2023-07-29,2023-08-06,Passed
CAN00132,REQ0002,Written Test,2023-08-06,2023-08-17,Below cutoff score
CAN00133,REQ0002,Application Received,2023-07-22,2023-07-22,Passed
CAN00133,REQ0002,CV Screening,2023-07-22,2023-07-25,Not matching JD
CAN00134,REQ0002,Application Received,2023-07-24,2023-07-24,Passed
CAN00134,REQ0002,CV Screening,2023-07-24,2023-08-01,Passed
CAN00134,REQ0002,Written Test,2023-08-01,2023-08-10,Absent
CAN00135,REQ0002,Application Received,2023-07-23,2023-07-23,Passed
CAN00135,REQ0002,CV Screening,2023-07-23,2023-07-28,Not matching JD
CAN00136,REQ0002,Application Received,2023-07-13,2023-07-13,Passed
CAN00136,REQ0002,CV Screening,2023-07-13,2023-07-21,Not matching JD
CAN00137,REQ0002,Application Received,2023-07-28,2023-07-28,Passed
CAN00137,REQ0002,CV Screening,2023-07-28,2023-08-05,Over-qualified
CAN00138,REQ0002,Application Received,2023-07-15,2023-07-15,Passed
CAN00138,REQ0002,CV Screening,2023-07-15,2023-07-18,Duplicate application
CAN00139,REQ0002,Application Received,2023-07-18,2023-07-18,Passed
