candidate_id,req_id,department,level,source,applied_date,final_stage,outcome,hired,days_in_process
CAN00063,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-16,CV Screening,Rejected - CV Screen,0,4
CAN00064,REQ0001,Operations,Non-Executive,bdjobs.com,2022-09-04,CV Screening,Rejected - CV Screen,0,8
CAN00065,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-24,Written Test,Rejected - Written Test,0,18
CAN00066,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-31,CV Screening,Rejected - CV Screen,0,7
CAN00067,REQ0002,Agent Banking,Non-Executive,Walk-in,2023-07-14,Reference Check,Rejected - Reference,0,24
CAN00068,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-23,Written Test,Rejected - Written Test,0,22
CAN00069,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-25,Hired,Hired,1,54
CAN00070,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-29,CV Screening,Rejected - CV Screen,0,8
CAN00071,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-24,Interview,Withdrew,0,38
CAN00072,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-24,Reference Check,Rejected - Reference,0,37
CAN00073,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-14,CV Screening,Rejected - CV Screen,0,8
CAN00074,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-13,CV Screening,Rejected - CV Screen,0,3
CAN00075,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-28,CV Screening,Rejected - CV Screen,0,4
CAN00076,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-29,Interview,Rejected - Interview,0,31
CAN00077,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-30,CV Screening,Rejected - CV Screen,0,6
CAN00078,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-17,CV Screening,Rejected - CV Screen,0,9
CAN00079,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-20,CV Screening,Rejected - CV Screen,0,7
CAN00080,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-16,Hired,Hired,1,60
CAN00081,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-25,Written Test,Rejected - Written Test,0,15
CAN00082,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-30,Hired,Hired,1,62
CAN00083,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-14,Written Test,Rejected - Written Test,0,18
CAN00084,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-15,CV Screening,Rejected - CV Screen,0,6
CAN00085,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-16,CV Screening,Rejected - CV Screen,0,3
CAN00086,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-17,CV Screening,Rejected - CV Screen,0,8
CAN00087,REQ0002,Agent Banking,Non-Executive,Walk-in,2023-07-31,CV Screening,Rejected - CV Screen,0,6
CAN00088,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-28,CV Screening,Rejected - CV Screen,0,4
CAN00089,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-11,CV Screening,Rejected - CV Screen,0,10
CAN00090,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-15,CV Screening,Rejected - CV Screen,0,5
CAN00091,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-13,Interview,Rejected - Interview,0,35
CAN00092,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-26,Written Test,Rejected - Written Test,0,13
CAN00093,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-20,CV Screening,Rejected - CV Screen,0,5
CAN00094,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-14,CV Screening,Rejected - CV Screen,0,3
CAN00095,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-13,Written Test,Rejected - Written Test,0,14
CAN00096,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-23,CV Screening,Rejected - CV Screen,0,4
CAN00097,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-14,CV Screening,Rejected - CV Screen,0,9
CAN00098,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-26,CV Screening,Rejected - CV Screen,0,3
CAN00099,REQ0002,Agent Banking,Non-Executive,Headhunting Firm,2023-07-12,Written Test,Rejected - Written Test,0,20
CAN00100,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-18,CV Screening,Rejected - CV Screen,0,8
CAN00101,REQ0002,Agent Banking,Non-Executive,Walk-in,2023-07-14,CV Screening,Rejected - CV Screen,0,7
CAN00102,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-15,CV Screening,Rejected - CV Screen,0,8
CAN00103,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-29,CV Screening,Rejected - CV Screen,0,5
CAN00104,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-19,CV Screening,Rejected - CV Screen,0,5
CAN00105,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-22,Hired,Hired,1,79
CAN00106,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-12,CV Screening,Rejected - CV Screen,0,5
CAN00107,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-22,Written Test,Rejected - Written Test,0,15
CAN00108,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-17,CV Screening,Rejected - CV Screen,0,7
CAN00109,REQ0002,Agent Banking,Non-Executive,Headhunting Firm,2023-07-15,CV Screening,Rejected - CV Screen,0,5
CAN00110,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-28,CV Screening,Rejected - CV Screen,0,5
CAN00111,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-14,CV Screening,Rejected - CV Screen,0,5
CAN00112,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-29,Written Test,Rejected - Written Test,0,15
CAN00113,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-18,CV Screening,Rejected - CV Screen,0,9
CAN00114,REQ0002,Agent Banking,Non-Executive,Walk-in,2023-07-24,CV Screening,Rejected - CV Screen,0,3
CAN00115,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-17,Interview,Withdrew,0,22
CAN00116,REQ0002,Agent Banking,Non-Executive,Walk-in,2023-07-17,CV Screening,Rejected - CV Screen,0,7
CAN00117,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-31,CV Screening,Rejected - CV Screen,0,5
CAN00118,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-18,CV Screening,Rejected - CV Screen,0,9
CAN00119,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-18,CV Screening,Rejected - CV Screen,0,5
CAN00120,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-20,CV Screening,Rejected - CV Screen,0,10
CAN00121,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-18,CV Screening,Rejected - CV Screen,0,7
CAN00122,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-18,Offer & Approval,Offer Declined,0,44
CAN00123,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-17,CV Screening,Rejected - CV Screen,0,8
CAN00124,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-16,CV Screening,Rejected - CV Screen,0,8
CAN00125,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-18,CV Screening,Rejected - CV Screen,0,9
CAN00126,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-14,CV Screening,Rejected - CV Screen,0,7
CAN00127,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-13,CV Screening,Rejected - CV Screen,0,5
CAN00128,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-31,CV Screening,Rejected - CV Screen,0,8
CAN00129,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-15,Offer & Approval,Offer Declined,0,48
CAN00130,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-31,CV Screening,Rejected - CV Screen,0,7
CAN00131,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-17,CV Screening,Rejected - CV Screen,0,10
CAN00132,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-29,Written Test,Rejected - Written Test,0,19
CAN00133,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-22,CV Screening,Rejected - CV Screen,0,3
CAN00134,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-24,Written Test,Rejected - Written Test,0,17
CAN00135,REQ0002,Agent Banking,Non-Executive,Walk-in,2023-07-23,CV Screening,Rejected - CV Screen,0,5
CAN00136,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-13,CV Screening,Rejected - CV Screen,0,8
CAN00137,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-28,CV Screening,Rejected - CV Screen,0,8
CAN00138,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-15,CV Screening,Rejected - CV Screen,0,3
CAN00139,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-18,Interview,Withdrew,0,29
CAN00140,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-15,CV Screening,Rejected - CV Screen,0,7
CAN00141,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-25,Interview,Rejected - Interview,0,29
CAN00142,REQ0002,Agent Banking,Non-Executive,Internal Referral,2023-07-26,Interview,Rejected - Interview,0,25
CAN00143,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-28,Interview,Rejected - Interview,0,29
CAN00144,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-16,Written Test,Rejected - Written Test,0,18
CAN00145,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-27,CV Screening,Rejected - CV Screen,0,3
CAN00146,REQ0002,Agent Banking,Non-Executive,Headhunting Firm,2023-07-13,CV Screening,Rejected - CV Screen,0,8
CAN00147,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-13,Interview,Withdrew,0,28
CAN00148,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-14,CV Screening,Rejected - CV Screen,0,3
CAN00149,REQ0002,Agent Banking,Non-Executive,Headhunting Firm,2023-07-18,Written Test,Rejected - Written Test,0,21
CAN00150,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-16,CV Screening,Rejected - CV Screen,0,10
CAN00151,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-11,CV Screening,Rejected - CV Screen,0,4
CAN00152,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-17,CV Screening,Rejected - CV Screen,0,8
CAN00153,REQ0002,Agent Banking,Non-Executive,bdjobs.com,2023-07-27,Written Test,Rejected - Written Test,0,15
CAN00154,REQ0002,Agent Banking,Non-Executive,LinkedIn,2023-07-22,CV Screening,Rejected - CV Screen,0,7
CAN00155,REQ0003,Operations,Non-Executive,Walk-in,2023-02-02,Written Test,Rejected - Written Test,0,14
CAN00156,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-14,CV Screening,Rejected - CV Screen,0,4
CAN00157,REQ0003,Operations,Non-Executive,Walk-in,2023-02-12,CV Screening,Rejected - CV Screen,0,7
CAN00158,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-05,CV Screening,Rejected - CV Screen,0,9
CAN00159,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-05,CV Screening,Rejected - CV Screen,0,6
CAN00160,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-16,Interview,Withdrew,0,32
CAN00161,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-04,CV Screening,Rejected - CV Screen,0,9
CAN00162,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-05,CV Screening,Rejected - CV Screen,0,8
CAN00163,REQ0003,Operations,Non-Executive,Headhunting Firm,2023-02-05,CV Screening,Rejected - CV Screen,0,8
CAN00164,REQ0003,Operations,Non-Executive,Walk-in,2023-02-14,CV Screening,Rejected - CV Screen,0,9
CAN00165,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-01,CV Screening,Rejected - CV Screen,0,10
CAN00166,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-06,CV Screening,Rejected - CV Screen,0,4
CAN00167,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-09,CV Screening,Rejected - CV Screen,0,10
CAN00168,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-15,Written Test,Rejected - Written Test,0,19
CAN00169,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-05,Written Test,Rejected - Written Test,0,16
CAN00170,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-15,CV Screening,Rejected - CV Screen,0,8
CAN00171,REQ0003,Operations,Non-Executive,Headhunting Firm,2023-02-13,CV Screening,Rejected - CV Screen,0,5
CAN00172,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-09,CV Screening,Rejected - CV Screen,0,8
CAN00173,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-04,Reference Check,Rejected - Reference,0,25
CAN00174,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-02,Written Test,Rejected - Written Test,0,16
CAN00175,REQ0003,Operations,Non-Executive,Internal Referral,2023-01-30,Interview,Rejected - Interview,0,33
CAN00176,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-15,CV Screening,Rejected - CV Screen,0,9
CAN00177,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-01,CV Screening,Rejected - CV Screen,0,10
CAN00178,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-04,CV Screening,Rejected - CV Screen,0,6
CAN00179,REQ0003,Operations,Non-Executive,Headhunting Firm,2023-02-02,Interview,Rejected - Interview,0,41
CAN00180,REQ0003,Operations,Non-Executive,bdjobs.com,2023-01-31,CV Screening,Rejected - CV Screen,0,5
CAN00181,REQ0003,Operations,Non-Executive,Headhunting Firm,2023-02-11,CV Screening,Rejected - CV Screen,0,9
CAN00182,REQ0003,Operations,Non-Executive,Walk-in,2023-02-05,CV Screening,Rejected - CV Screen,0,3
CAN00183,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-01,Hired,Hired,1,72
CAN00184,REQ0003,Operations,Non-Executive,Headhunting Firm,2023-02-17,CV Screening,Rejected - CV Screen,0,10
CAN00185,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-05,CV Screening,Rejected - CV Screen,0,9
CAN00186,REQ0003,Operations,Non-Executive,Walk-in,2023-02-12,CV Screening,Rejected - CV Screen,0,4
CAN00187,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-13,CV Screening,Rejected - CV Screen,0,7
CAN00188,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-10,CV Screening,Rejected - CV Screen,0,3
CAN00189,REQ0003,Operations,Non-Executive,Internal Referral,2023-01-28,Written Test,Rejected - Written Test,0,11
CAN00190,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-03,CV Screening,Rejected - CV Screen,0,9
CAN00191,REQ0003,Operations,Non-Executive,LinkedIn,2023-01-30,Hired,Hired,1,65
CAN00192,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-10,CV Screening,Rejected - CV Screen,0,10
CAN00193,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-14,CV Screening,Rejected - CV Screen,0,7
CAN00194,REQ0003,Operations,Non-Executive,Internal Referral,2023-01-30,CV Screening,Rejected - CV Screen,0,10
CAN00195,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-03,CV Screening,Rejected - CV Screen,0,3
CAN00196,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-04,CV Screening,Rejected - CV Screen,0,9
CAN00197,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-08,CV Screening,Rejected - CV Screen,0,8
CAN00198,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-01,CV Screening,Rejected - CV Screen,0,4
CAN00199,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-15,CV Screening,Rejected - CV Screen,0,9
CAN00200,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-08,CV Screening,Rejected - CV Screen,0,6
CAN00201,REQ0003,Operations,Non-Executive,Walk-in,2023-02-06,CV Screening,Rejected - CV Screen,0,5
CAN00202,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-02,CV Screening,Rejected - CV Screen,0,3
CAN00203,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-09,CV Screening,Rejected - CV Screen,0,10
CAN00204,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-17,CV Screening,Rejected - CV Screen,0,4
CAN00205,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-08,CV Screening,Rejected - CV Screen,0,6
CAN00206,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-08,CV Screening,Rejected - CV Screen,0,8
CAN00207,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-10,CV Screening,Rejected - CV Screen,0,5
CAN00208,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-14,CV Screening,Rejected - CV Screen,0,3
CAN00209,REQ0003,Operations,Non-Executive,Walk-in,2023-01-31,CV Screening,Rejected - CV Screen,0,3
CAN00210,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-05,Hired,Hired,1,48
CAN00211,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-08,CV Screening,Rejected - CV Screen,0,3
CAN00212,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-09,Interview,Rejected - Interview,0,17
CAN00213,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-11,CV Screening,Rejected - CV Screen,0,10
CAN00214,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-03,Written Test,Rejected - Written Test,0,22
CAN00215,REQ0003,Operations,Non-Executive,Internal Referral,2023-01-29,CV Screening,Rejected - CV Screen,0,7
CAN00216,REQ0003,Operations,Non-Executive,Headhunting Firm,2023-02-15,CV Screening,Rejected - CV Screen,0,6
CAN00217,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-16,CV Screening,Rejected - CV Screen,0,5
CAN00218,REQ0003,Operations,Non-Executive,Walk-in,2023-02-06,CV Screening,Rejected - CV Screen,0,4
CAN00219,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-14,CV Screening,Rejected - CV Screen,0,10
CAN00220,REQ0003,Operations,Non-Executive,Walk-in,2023-01-30,Written Test,Rejected - Written Test,0,17
CAN00221,REQ0003,Operations,Non-Executive,Headhunting Firm,2023-01-30,CV Screening,Rejected - CV Screen,0,7
CAN00222,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-17,CV Screening,Rejected - CV Screen,0,10
CAN00223,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-03,Written Test,Rejected - Written Test,0,15
CAN00224,REQ0003,Operations,Non-Executive,Internal Referral,2023-01-29,CV Screening,Rejected - CV Screen,0,7
CAN00225,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-07,CV Screening,Rejected - CV Screen,0,5
CAN00226,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-12,Hired,Hired,1,65
CAN00227,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-02,CV Screening,Rejected - CV Screen,0,6
CAN00228,REQ0003,Operations,Non-Executive,bdjobs.com,2023-01-29,Offer & Approval,Offer Declined,0,54
CAN00229,REQ0003,Operations,Non-Executive,Walk-in,2023-02-07,CV Screening,Rejected - CV Screen,0,4
CAN00230,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-10,CV Screening,Rejected - CV Screen,0,4
CAN00231,REQ0003,Operations,Non-Executive,LinkedIn,2023-01-28,CV Screening,Rejected - CV Screen,0,8
CAN00232,REQ0003,Operations,Non-Executive,LinkedIn,2023-02-07,CV Screening,Rejected - CV Screen,0,7
CAN00233,REQ0003,Operations,Non-Executive,bdjobs.com,2023-02-13,Written Test,Rejected - Written Test,0,20
CAN00234,REQ0003,Operations,Non-Executive,bdjobs.com,2023-01-29,CV Screening,Rejected - CV Screen,0,3
CAN00235,REQ0003,Operations,Non-Executive,bdjobs.com,2023-01-29,Written Test,Rejected - Written Test,0,14
CAN00236,REQ0003,Operations,Non-Executive,Internal Referral,2023-02-17,CV Screening,Rejected - CV Screen,0,10
CAN00237,REQ0003,Operations,Non-Executive,Walk-in,2023-01-28,CV Screening,Rejected - CV Screen,0,9
CAN00238,REQ0003,Operations,Non-Executive,bdjobs.com,2023-01-30,CV Screening,Rejected - CV Screen,0,8
